ID,Nome,Etimologia (Tupi/Raízes),Tipagem,Base Biológica,Conceito,Dex Entry,Visual Prompt,Som,Pré-Evolução,Evolução,Inspirado em (Moveset)
1,Aimim,Ai (Preguiça) + Mirim (Pequeno),Grass,Preguiça-de-coleira,O Preguiça Musgo,Seu metabolismo é tão lento que musgos raros crescem em seu pelo gerando energia por fotossíntese enquanto ele dorme.,Pequena preguiça com musgo verde neon no pescoço. Olhos perpetuamente semicerrados.,Um bocejo agudo seguido de farfalhar de folhas.,-,Aika'a,Sunkern
2,Aika'a,Ai (Preguiça) + Ka'a (Floresta),Grass,Preguiça-comum,O Jardineiro Lento,O musgo evoluiu para arbustos. Pássaros menores fazem ninho em suas costas protegidos pelos galhos que crescem de seus ombros.,Preguiça maior garras de madeira polida. Costas cobertas por samambaias e um ninho de passarinho.,Som de galhos estalando lentamente e piados distantes.,Aimim,Megatara,Grotle
3,Megatara,Megatherium + Ka'a + Yara (Senhor),Grass/Ground,Megatério,O Titã da Floresta,Guardião do bioma. Onde pisa o solo fertiliza instantaneamente. Sua carapaça é uma montanha viva de raízes e terra compactada.,Monstro gigante quadrúpede feito de raízes grossas e pedras. Musgo denso como armadura de placas.,Um rugido grave que treme o chão como raízes rompendo concreto.,Aika'a,-,Torterra
4,Kuatata,Kuaray (Sol) + Tata (Fogo),Fire,Tamanduá-mirim,O Aspirador de Brasas,Usa o focinho para sugar calor geotérmico. Sua língua de plasma derrete minérios para extrair nutrientes.,Tamanduá pequeno pelagem amarela com pontas vermelhas. Focinho brilha como ferro em brasa.,Som de maçarico sendo aceso.,-,Kuaranduá,Heatmor
5,Kuaranduá,Kuaray (Sol) + Tamanduá,Fire/Steel,Tamanduá-bandeira,O Guerreiro Solar,Suas garras atingem temperaturas de fusão. A cauda funciona como um escudo térmico e uma tocha para intimidar rivais.,Tamanduá bípede garras metálicas incandescentes. A cauda é uma chama sólida em leque.,Som de metal raspando em metal quente.,Kuatata,Tatasu,
6,Tatasu,Tata (Fogo) + Assu (Grande/Vasto),Fire/Steel,Tamanduá Gigante,A Fornalha Viva,Seu estômago é um reator biológico. Ao abrir a boca libera ondas de calor capazes de incinerar uma clareira inteira.,Tamanduá blindado com placas de aço vulcânico negro. Fumaça sai pelas narinas constantemente.,Som de explosão abafada e vapor escapando de válvula.,Kuaranduá,-,Heatran
7,Ygûara,Y (Água) + Jagûara (Cão/Fera),Water,Ariranha,O Filhote da Correnteza,Extremamente territorial apesar do tamanho. Nada contra corredeiras fortes apenas para fortalecer sua cauda muscular.,Lontra azul-escura com manchas brancas no pescoço parecendo um babador. Membranas turquesa.,Latido agudo misturado com água espirrando.,-,Ypira,Buizel
8,Ypira,Y (Água) + Pira (Peixe/Morder),Water/Fighting,Ariranha Média,O Lutador Fluvial,Usa a cauda achatada como um porrete. Caça em grupos táticos cercando presas maiores com precisão militar.,Ariranha bípede e musculosa. Marcas de cicatrizes tribais naturais no pelo.,Som de chicote batendo na água (Plaft!).,Ygûara,Arirama,Poliwrath
9,Arirama,Ariranha + Rama (Lugar/Promissor),Water/Fighting,Ariranha Gigante,O Mestre do Rio,Predador ápice dos rios. Sua pele repele qualquer dano físico e seus dentes de sabre trituram cascos de tartaruga.,Lontra gigante humanoide pelagem lustrosa como óleo. Dentes de sabre feitos de coral azul.,Urro gutural borbulhante.,Ypira,-,Quaquaval
10,Tevi,Onomatopeia 'Bem-te-vi',Normal/Flying,Bem-te-vi,O Vigia,Grita incessantemente para denunciar a posição de predadores e treinadores escondidos. Sua crista brilha ao detectar mentiras.,Pássaro pequeno amarelo e preto. Crista arrepiada estilo punk. Olhar julgador.,O clássico 'Bem-te-vi' com eco metálico irritante.,-,Teviguari,Chatot
